V1,V2,V3
i.55.4.10.033,0,0.032
i.55.4.11.026,0,0.044
i.55.4.11.027,1,0.044
i.55.4.11.030,0,0.098
i.55.4.11.031,0,0.053
i.55.4.11.032,0,0.028
i.55.4.11.034,0,0.018
i.55.4.12.005,0,0.108
i.55.4.12.006,0,0.117
i.55.4.12.008,0,0.049
i.55.4.12.009,0,0.018
i.55.4.12.011,0,0.018
i.55.4.12.012,0,0.047
i.55.4.12.015,0,0.049
i.55.4.12.016,0,0.153
i.55.4.14.001,0,0.05
i.55.4.14.003,0,0.033
i.55.4.14.014,0,0.161
i.55.4.14.015,0,0.161
i.55.4.14.016,0,0.08
i.55.4.15.001,0,0.048
i.55.4.15.003,0,0.031
i.55.4.15.005,0,0.014
i.55.4.15.006,0,0.036
i.55.4.15.008,0,0.047
i.55.4.16.008,0,0.077
i.55.4.16.009,0,0.049
i.55.4.16.012,0,0.045
i.55.4.16.013,0,0.048
i.55.4.16.017,0,0.016
i.55.4.16.018,0,0.016
i.55.4.16.020,0,0.142
i.55.4.18.001,1,0.053
i.55.4.19.001,0,0.043
i.55.4.19.003,0,0.077
i.55.4.19.008,0,0.194
i.55.4.19.009,0,0.054
i.55.4.19.012,0,0.016
i.55.4.19.013,0,0.04
i.55.4.19.014,0,0.042
i.55.4.19.016,0,0.042
i.55.4.19.018,0,0.031
i.55.4.19.019,0,0.144
i.55.4.2.025,1,0.04
i.55.4.2.026,1,0.039
i.55.4.2.028,0,0.035
i.55.4.2.030,0,0.046
i.55.4.2.031,0,0.017
i.55.4.2.032,0,0.032
i.55.4.2.038,0,0.049
i.55.4.2.039,0,0.054
i.55.4.2.043,0,0.04
i.55.4.2.045,0,0.048
i.55.4.2.046,0,0.048
i.55.4.20.001,0,0.048
i.55.4.20.005,0,0.016
i.55.4.21.001,0,0.09
i.55.4.23.002,0,0.03
i.55.4.23.004,1,0.06
i.55.4.24.002,0,0.043
i.55.4.24.005,0,0.031
i.55.4.25.001,0,0.016
i.55.4.25.005,0,0.016
i.55.4.25.007,0,0.049
i.55.4.25.008,0,0.051
i.55.4.25.014,0,0.12
i.55.4.3.001,0,0.015
i.55.4.3.002,0,0.041
i.55.4.3.003,0,0.03
i.55.4.3.005,0,0.091
i.55.4.3.007,0,0.041
i.55.4.3.008,0,0.016
i.55.4.3.010,0,0.045
i.55.4.3.011,0,0.017
i.55.4.3.012,0,0.018
i.55.4.3.014,1,0.094
i.55.4.3.017,0,0.099
i.55.4.3.018,0,0.807
i.55.4.3.019,0,0.089
i.55.4.3.024,0,0.101
i.55.4.3.025,0,0.054
i.55.4.3.028,0,0.054
i.55.4.3.029,0,0.049
i.55.4.3.033,1,0.051
i.55.4.3.034,0,0.017
i.55.4.3.035,0,0.017
i.55.4.3.039,0,0.05
i.55.4.30.004,0,0.029
i.55.4.31.009,0,0.046
i.55.4.31.007,0,0.054
i.55.4.32.002,0,0.04
i.55.4.32.004,0,0.079
i.55.4.32.005,0,0.111
i.55.4.33.017,0,0.132
i.55.4.35.003,0,0.048
i.55.4.35.004,0,0.221
i.55.4.4.001,0,0.057
i.55.4.4.002,0,0.048
i.55.4.4.008,1,0.059
i.55.4.4.009,0,0.108
