CRSP2_Unique_ID,Severe_Crashes,Area_Type,Context_Zone,Int_Type,Total_Entering_ADT,Cross_Product,Design_Type,Traffic_Control,Leg_Configuration,Major_Division_Configuration,Minor_Division_Configuration,Major_Surface_Type,Minor_Surface_Type,Alignment_Skew,Railroad_Crossing,Adjacent_Curve,Adjacent_Development,Street Parking,Lighting,Previous_Stop,Major_Speed_Limit,Minor_Speed_Limit,Flashers,Overhead_Signal,Left_Turn_Phasing_Maj,Left_Turn_Phasing_Min,Maj1_Lane_Config,Maj2_Lane_Config,Sidewalk,Refuge_Island,Ped_Crossing,Bike_Facility,Ped_Indicator,Transit_Adjacent,School_Crosswalk,Legs,Max_Lanes_Cross
610028,0,urban,commercial,intersection,17900,0,traditional,signal,x,divided,other,paved,paved,0,none,yes,yes,no,yes,0,50,30,no,yes,protected,permitted,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
610030,1,urban,commercial,intersection,42450,397575000,traditional,signal,x,divided,divided,paved,paved,0,none,yes,yes,no,yes,0,50,30,no,yes,protected,permitted/protected,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
610036,0,urban,commercial,ramp terminal,8800,0,traditional,signal,x,divided,undivided,paved,paved,5,none,yes,no,no,yes,0,30,30,no,yes,protected,permitted,lttr,lttr,yes,yes,yes,no,yes,no,no,4,3
610040,0,urban,commercial,ramp terminal,13800,0,traditional,signal,x,divided,other,paved,paved,0,none,yes,no,no,yes,0,45,65,no,yes,protected,protected,llttr,ttttr,yes,yes,yes,no,yes,no,no,4,4
610041,0,urban,commercial,ramp terminal,13800,0,traditional,signal,x,divided,other,paved,paved,0,none,yes,yes,no,yes,0,45,65,no,yes,permitted/protected,permitted/protected,ttttr,lltt,yes,yes,yes,no,yes,no,no,4,3
610042,1,urban,commercial,intersection,11925,27357500,traditional,signal,x,divided,divided,paved,paved,0,none,yes,yes,no,yes,0,45,45,no,yes,permitted/protected,permitted/protected,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
610044,0,urban,commercial,intersection,15125,18285000,traditional,thru-stop,x,divided,undivided,paved,paved,10,none,yes,yes,no,yes,0,45,35,no,no,none,none,lttr,lttr,yes,yes,yes,no,no,yes,no,4,4
610046,0,urban,commercial,intersection,18000,54477500,traditional,signal,x,divided,divided,paved,paved,0,none,yes,yes,no,yes,0,45,30,no,yes,permitted/protected,permitted/protected,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
610049,0,urban,commercial,ramp terminal,23550,118175000,traditional,signal,x,divided,other,paved,paved,15,none,no,no,no,yes,1,30,65,no,yes,protected,permitted,llttr,tttr,yes,yes,yes,no,yes,no,no,4,4
610052,0,urban,commercial,intersection,16300,0,traditional,signal,t,divided,other,paved,paved,5,none,yes,yes,no,yes,0,30,30,no,yes,none,none,tt,tt,yes,yes,no,no,yes,no,no,3,2
610056,0,urban,commercial,intersection,23775,121842500,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,yes,no,yes,0,45,30,no,yes,permitted/protected,permitted,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
610062,0,urban,residential,intersection,13855,29306250,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,no,no,yes,0,40,30,no,yes,permitted/protected,permitted,lttr,lttr,yes,yes,yes,no,yes,no,no,4,4
610070,0,urban,commercial,intersection,11500,0,traditional,signal,x,divided,divided,paved,paved,0,none,no,yes,no,yes,0,40,45,no,yes,protected,protected,lttr,lttr,yes,yes,yes,no,yes,yes,no,4,3
610074,0,urban,commercial,intersection,13600,24150000,traditional,signal,t,divided,undivided,paved,paved,0,none,yes,yes,no,yes,0,40,30,no,yes,permitted/protected,permitted/protected,ltt,ltt,yes,yes,yes,no,yes,no,no,3,3
610086,0,suburban,residential,intersection,560,0,traditional,thru-stop,x,divided,undivided,paved,paved,15,none,yes,no,no,no,0,30,30,no,no,none,none,ltt,lttr,yes,yes,yes,no,no,no,no,4,4
610098,0,suburban,residential,intersection,4875,3341250,traditional,thru-stop,t,divided,undivided,paved,paved,10,none,yes,no,no,no,0,30,30,no,no,none,none,t,t,no,yes,no,no,no,no,no,3,1
610108,0,suburban,residential,intersection,4685,1457250,traditional,thru-stop,t,undivided,undivided,paved,paved,20,none,yes,no,no,yes,0,30,25,no,no,none,none,t,t,no,no,no,no,no,no,no,3,2
610122,0,suburban,residential,intersection,13325,24251250,traditional,signal,t,undivided,undivided,paved,paved,0,none,yes,yes,no,yes,0,30,30,no,yes,permitted/protected,permitted,tt,tt,yes,no,yes,no,yes,yes,no,3,4
610124,0,suburban,residential,intersection,19500,77840000,traditional,signal,t,undivided,undivided,paved,paved,10,none,no,no,no,yes,0,30,25,no,yes,permitted/protected,permitted,tt,tt,yes,no,yes,no,yes,yes,no,3,4
610126,0,suburban,residential,intersection,13025,20440000,traditional,thru-stop,x,undivided,undivided,paved,paved,40,none,yes,yes,no,yes,0,30,30,no,no,none,none,tt,t,yes,no,yes,no,yes,yes,no,4,4
610140,0,suburban,residential,intersection,12825,24412500,traditional,signal,t,undivided,undivided,paved,paved,0,none,no,no,no,yes,0,35,30,no,yes,protected,permitted,t,lt,yes,no,no,no,yes,yes,yes,3,3
610162,0,urban,residential,intersection,11100,0,traditional,signal,x,undivided,undivided,paved,paved,5,none,yes,no,no,yes,0,30,30,no,yes,permitted,permitted,tt,tt,yes,no,no,no,yes,yes,no,4,4
610164,0,urban,commercial,intersection,14500,37740000,traditional,signal,x,divided,divided,paved,paved,0,none,yes,yes,no,yes,0,30,30,no,yes,protected,protected,lttr,lttr,yes,yes,yes,no,yes,no,no,4,3
610166,0,urban,commercial,intersection,23400,0,traditional,signal,x,divided,divided,paved,paved,20,none,yes,yes,no,yes,0,30,30,no,yes,protected,protected,lltt,lttr,yes,yes,no,no,no,yes,no,4,3
610170,0,urban,commercial,intersection,7700,0,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,yes,no,yes,0,40,30,no,yes,protected,protected,lttt,ltt,yes,yes,yes,no,yes,yes,no,4,4
610180,0,urban,residential,intersection,12475,6842500,traditional,thru-stop,x,undivided,undivided,paved,paved,0,none,yes,no,no,no,0,40,30,no,no,none,none,tt,tt,yes,no,yes,no,no,no,no,4,4
610182,0,urban,residential,intersection,11900,0,traditional,signal,x,undivided,undivided,paved,paved,0,none,yes,no,no,yes,0,40,30,no,yes,permitted,permitted,tt,tt,yes,no,yes,no,yes,yes,no,4,4
610186,0,urban,residential,intersection,7500,0,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,no,no,yes,0,40,30,no,yes,protected,protected,ltt,lttr,yes,yes,yes,no,yes,yes,no,4,4
