ACCN,Cur_CRSP2ID_int
110880093,C.27.4.37.001
110880186,C.25.4.8.034
110880192,C.49.4.1.020
110890036,C.27.4.1.023
110890149,C.86.4.9.004
110900012,C.27.4.30.002
110900049,C.27.4.12.023
110910157,C.27.4.13.001
110910191,C.27.4.27.002
110910198,C.27.4.40.015
110910224,C.73.4.17.017
110910231,C.69.4.21.011
110910233,C.18.4.3.032
110940144,C.27.4.1.019
110950078,C.56.4.1.009
110960057,C.69.4.21.027
110960075,C.69.4.120.004
110960131,C.55.4.22.011
110970003,C.73.7.155.006
110970046,C.27.4.4.021
110970052,C.27.4.57.006
110970058,C.27.4.4.021
110970093,C.73.4.1.020
110970140,C.27.4.130.007
110980035,C.27.4.112.013
110980085,C.49.4.26.010
111000087,C.27.4.81.004
111010093,C.27.4.3.026
111010094,C.04.4.15.021
111010096,C.04.4.47.001
111010100,C.27.4.66.018
111010103,C.27.4.13.002
111020028,C.73.4.1.006
111020036,C.27.4.28.021
111020061,C.27.4.15.043
111020072,C.86.4.8.020
111020074,C.86.4.7.021
111020132,C.27.4.40.004
111020145,C.56.4.35.051
111030048,C.69.4.4.040
111030100,C.04.4.32.019
111040029,C.47.4.27.006
111050013,C.69.7.285.016
111050015,C.27.4.12.039
111050058,C.69.4.91.004
111060012,C.73.7.141.002
111060046,C.09.4.3.008
111060097,C.18.4.3.036
111060139,C.43.4.7.034
111070028,C.69.4.84.005
111080055,C.13.4.19.002
111080128,C.27.4.130.012
111080138,C.27.4.1.023
111080178,C.27.4.10.057
111080184,C.27.4.24.014
111080207,C.27.4.66.018
111080354,C.56.4.8.003
111090029,C.27.4.122.001
111090055,C.25.4.24.015
111090073,C.56.4.35.015
111100096,C.55.4.22.014
111100101,C.55.4.22.014
111100120,C.27.4.81.006
111100125,C.55.4.22.013
111100126,C.27.4.3.023
111110010,C.27.4.1.026
111110043,C.27.4.3.026
111110153,C.24.4.14.014
111120086,C.73.4.120.002
111120110,C.27.4.6.008
