acc_0615_ForGIS_pt.ACCN,acc_0615_ForGIS_pt.Int_CRSP2ID_int
110450051,I.55.4.2.013
110450066,I.73.4.54.001
110450165,I.43.4.12.013
110450195,I.69.4.15.016
110450240,I.43.4.7.019
110450334,I.86.7.106.019
110450341,I.55.4.1.033
110460096,I.69.4.9.045
110460121,I.73.4.2.027
110460124,I.56.4.38.026
110460155,I.73.4.4.034
110460161,I.73.4.75.052
110460224,I.55.4.32.005
110470015,I.73.4.75.070
110470074,I.55.4.22.017
110470085,I.73.4.75.052
110470098,I.55.4.22.052
110470100,I.55.7.146.003
110470114,I.55.7.146.003
110470131,I.55.4.22.052
110470163,I.55.4.9.005
110470176,I.55.4.22.037
110470184,I.55.4.25.028
110470330,I.73.4.29.001
110470333,I.73.4.33.031
110480019,I.55.4.22.041
110480064,I.55.4.4.025
110480066,I.73.4.65.005
110480142,I.73.7.141.004
110480159,I.55.4.22.016
110490045,I.73.4.4.030
110490089,I.73.4.75.052
110490128,I.73.4.75.056
110490143,I.73.4.82.007
110490146,I.73.4.1.005
110490169,I.73.4.75.067
110500053,I.86.4.12.042
110510060,I.73.4.13.052
110510065,I.73.4.13.052
110510215,I.73.4.23.018
110510217,I.43.4.115.005
110520093,I.73.4.1.005
110520121,I.86.4.34.001
110520134,I.49.7.213.001
110520230,I.69.4.21.052
110520242,I.55.4.25.028
110520282,I.69.4.4.001
110520383,I.73.4.47.003
110520395,I.86.4.42.003
110530013,I.73.4.2.045
110530016,I.73.4.2.045
110530030,I.69.4.6.021
110530045,I.69.4.54.010
110530066,I.69.4.57.003
110530172,I.55.4.5.012
110530211,I.73.4.75.044
110530223,I.47.4.1.028
110530262,I.56.4.35.040
110530297,I.73.4.75.040
110530328,I.56.4.88.005
110530333,I.86.4.37.073
110530383,I.55.4.36.030
110530630,I.86.7.147.001
110530635,I.86.7.138.007
110540059,I.55.4.22.015
110540107,I.55.4.22.046
110540165,I.86.4.35.036
110540293,I.86.4.3.027
110540294,I.73.4.6.001
110550001,I.43.4.115.010
110550018,I.69.4.13.025
110550027,I.73.4.2.027
110550049,I.86.4.18.022
110550055,I.86.4.75.044
110550056,I.86.4.17.019
110550057,I.86.4.30.034
110550062,I.86.4.19.034
110550083,I.86.7.100.003
110550087,I.86.4.39.041
110550115,I.69.4.27.005
110550147,I.69.4.156.003
110550175,I.55.4.34.011
110550294,I.56.4.25.013
110550309,I.69.4.16.036
110550311,I.69.4.67.001
110550317,I.69.4.109.001
110550356,I.47.4.4.010
110550382,I.73.4.4.030
110560027,I.69.4.34.001
110560073,I.69.4.4.028
110560074,I.47.4.34.001
110560162,I.86.4.6.036
110560172,I.86.4.34.002
110560191,I.86.4.6.017
110560217,I.69.4.4.066
110560221,I.69.7.308.001
110560239,I.55.4.12.016
110560328,I.49.4.34.001
110560331,I.49.4.35.001
110570062,I.73.4.133.013
110570103,I.73.4.4.012
110570232,I.47.4.11.027
110570270,I.73.4.4.034
110570282,I.69.4.9.078
110580013,I.73.7.185.003
110580043,I.73.4.4.047
110580209,I.56.4.1.076
110580230,I.55.7.112.007
110590010,I.43.4.4.010
110590012,I.55.4.22.041
110590046,I.47.4.30.006
110590048,I.73.7.134.021
110590082,I.86.4.18.022
110590144,I.73.4.75.048
110590150,I.69.7.303.009
110590156,I.69.4.4.010
110590183,I.73.4.75.055
110590226,I.73.4.134.003
110590282,I.55.4.12.016
110590347,I.73.4.75.047
110590354,I.49.4.22.012
110590357,I.69.4.132.001
110600046,I.55.4.22.003
110600099,I.86.4.37.047
110600174,I.69.4.17.001
110600245,I.69.4.9.078
110600266,I.73.4.75.041
110600268,I.55.4.5.024
110600274,I.69.4.91.006
110610011,I.86.4.19.032
110610099,I.55.4.22.026
110610141,I.69.4.14.004
110610190,I.86.4.37.040
110620015,I.73.4.3.001
110620103,I.86.4.39.033
110620111,I.56.4.53.001
110620161,I.69.4.48.028
110620167,I.55.4.9.003
110620204,I.49.4.24.003
110620317,I.49.7.214.001
110620319,I.49.7.240.001
110620323,I.56.4.53.001
110620330,I.56.4.53.001
110620331,I.56.4.53.001
110630006,I.43.4.2.020
110630118,I.56.4.21.004
110630133,I.73.4.50.018
110630143,I.73.4.6.014
110630168,I.86.4.37.071
110630171,I.73.4.120.009
110630180,I.73.4.75.048
110630238,I.86.4.36.001
110640026,I.73.4.13.062
110640028,I.73.4.9.045
110640058,I.73.4.134.004
110640078,I.73.4.75.018
110640102,I.69.4.13.008
110650011,I.86.4.35.034
110650013,I.69.4.2.008
110650078,I.56.4.82.004
110650086,I.73.4.75.035
110650103,I.73.4.75.047
110650111,I.73.4.75.031
110650121,I.73.4.4.034
110650129,I.73.4.50.036
110650149,I.69.4.54.017
110650167,I.73.4.81.019
110650170,I.69.4.54.001
110660028,I.73.4.2.039
110660061,I.73.4.81.019
110660089,I.73.4.4.032
110660146,I.69.4.9.044
110660172,I.55.4.22.003
110660193,I.73.4.75.033
110660217,I.86.4.9.021
110660268,I.86.4.4.017
110660503,I.73.7.186.010
110660525,I.49.7.209.003
110660559,I.69.4.4.010
110670018,I.73.4.17.059
110670188,I.73.4.75.048
110670358,I.73.4.47.003
110670360,I.86.4.35.030
110670377,I.73.4.9.017
110670401,I.69.4.142.019
110680056,I.55.7.133.004
110680101,I.55.4.22.016
110680140,I.56.4.90.005
110680188,I.73.4.3.013
110680201,I.69.4.54.001
110680219,I.56.4.16.012
110680355,I.73.7.143.002
110690089,I.47.4.14.006
110690107,I.56.4.1.050
110690128,I.73.4.13.047
110690252,I.49.7.214.001
110700030,I.47.4.35.001
110700113,I.73.4.4.034
110700166,I.47.4.26.007
110700196,I.69.4.14.013
110700201,I.69.4.50.003
110710043,I.73.4.75.029
110710047,I.73.4.75.043
110710064,I.56.4.27.018
110710081,I.86.4.37.066
110710088,I.73.4.75.052
110710166,I.73.4.138.015
110720026,I.69.4.21.026
110720038,I.73.4.4.042
110720106,I.69.4.4.010
110730098,I.69.4.4.001
110730175,I.56.4.22.018
110730239,I.69.7.841.001
110740117,I.86.4.11.004
110740165,I.69.4.9.048
110740189,I.73.4.4.027
110740192,I.43.4.1.033
110740270,I.49.4.18.002
110750062,I.55.4.22.035
110750086,I.86.4.35.028
110750088,I.86.4.39.053
110750105,I.55.4.34.021
110750121,I.55.4.2.012
110750159,I.55.4.5.028
110750183,I.73.4.75.050
110750314,I.86.4.36.013
110750328,I.86.4.36.013
110750356,I.56.7.125.001
110760006,I.73.4.75.047
110760031,I.56.7.126.003
110760055,I.69.4.9.060
110760159,I.55.7.117.006
110760174,I.43.4.6.006
110760211,I.55.4.16.009
110760212,I.55.4.16.009
110760215,I.55.4.16.009
110760285,I.86.7.100.001
110760303,I.56.4.21.017
110770027,I.86.4.30.021
110770047,I.73.4.9.059
110770073,I.69.4.91.017
110770082,I.69.4.34.001
110770120,I.86.4.6.015
110770137,I.49.4.20.008
110780010,I.73.4.4.023
110780037,I.69.4.4.010
110780083,I.69.4.9.048
110780119,I.43.4.15.003
110800129,I.55.4.2.038
110810005,I.69.7.921.003
110810153,I.69.4.9.078
110810226,I.55.4.5.006
110810228,I.43.4.25.001
110810318,I.86.4.14.011
110820052,I.49.4.1.035
110820061,I.73.4.75.047
110820131,I.55.4.36.022
110820214,I.43.4.116.006
110820251,I.73.4.75.060
110820257,I.73.4.75.059
110820302,I.86.4.12.033
110820312,I.69.4.9.048
110830044,I.69.4.4.010
110830059,I.43.4.7.024
110830205,I.73.4.81.019
110830320,I.73.4.75.043
110830321,I.73.4.47.003
110840002,I.69.4.124.001
110840032,I.73.4.4.047
110840038,I.43.4.23.005
110840042,I.73.4.9.063
110840121,I.73.4.7.009
110840144,I.73.4.4.033
110840159,I.73.4.75.052
110840210,I.86.7.134.001
110850013,I.69.4.7.069
110850026,I.73.4.75.048
110850028,I.69.4.6.030
110850122,I.73.4.75.050
110850137,I.69.4.9.073
110860041,I.43.4.115.001
110860088,I.56.4.1.066
110860095,I.56.4.47.008
110870025,I.69.4.54.001
110870040,I.73.4.75.047
110870042,I.86.4.19.032
110870116,I.69.4.11.017
110870117,I.69.4.103.018
110870128,I.69.4.14.013
110870140,I.43.4.12.016
110870147,I.69.7.950.001
110880037,I.73.4.23.006
110880042,I.49.4.52.018
110880051,I.69.4.90.001
110880069,I.55.4.25.020
110880153,I.69.4.54.017
110880192,I.49.4.1.056
110890033,I.56.4.64.001
110890038,I.55.7.147.013
110890055,I.73.4.7.015
110890067,I.55.4.34.020
110890161,I.55.4.16.020
110900002,I.73.4.17.048
110900007,I.73.4.1.005
110900021,I.69.4.32.003
110900083,I.86.4.17.005
