ACCN,YEAR,Seg_CRSP2ID_int
152040075,2015,013-060
152080007,2015,026-020
152130087,2015,022-010
152180125,2015,022-030
152230143,2015,045-030
152360108,2015,046-080
152510072,2015,020-021
152550119,2015,046-050
152570126,2015,022-030
152610157,2015,022-010
152710103,2015,030-030
152770067,2015,022-030
152840139,2015,046-050
152910049,2015,018-050
153020050,2015,022-050
153170157,2015,022-050
153200217,2015,046-050
153210020,2015,017-062
153250033,2015,022-060
153280032,2015,025-030
153280109,2015,035-011
153320096,2015,046-010
153340288,2015,045-010
153350242,2015,046-021
153360074,2015,020-045
153370216,2015,004-010
153420010,2015,026-050
153440011,2015,029-027
153440239,2015,022-030
153490186,2015,022-051
153500221,2015,046-040
153530038,2015,022-051
153620093,2015,022-051
160060020,2015,035-050
160210051,2015,022-030
110190235,2011,S.18.4.77.001
110640176,2011,S.09.4.10.001
110800030,2011,S.55.4.5.003
111320010,2011,S.56.4.75.005
111460158,2011,S.18.4.77.001
111610096,2011,S.09.4.61.001
112020138,2011,S.49.4.1.007
112210127,2011,S.56.4.4.004
112300026,2011,S.04.4.8.003
112750158,2011,S.55.4.25.001
112790242,2011,S.55.4.5.004
112920061,2011,S.43.4.23.001
120140161,2012,S.56.4.82.001
120430121,2012,S.86.4.13.001
120500097,2012,S.18.4.77.001
120630208,2012,S.18.4.77.001
121170116,2012,S.55.7.114.001
123070045,2012,S.25.4.27.001
123210081,2012,S.73.4.13.007
130120169,2013,S.13.7.68.001
130220354,2013,S.56.4.11.003
130800151,2013,S.55.4.21.001
131030079,2013,S.13.4.22.002
131140037,2013,S.56.4.53.002
131680070,2013,S.25.4.1.001
133610049,2013,S.56.4.82.001
142690060,2014,S.73.4.17.001
142900238,2014,S.56.4.11.003
143630017,2014,S.73.4.20.001
150060240,2014,S.86.4.8.001
151070029,2015,S.18.4.17.001
151120047,2015,S.49.4.32.001
151240073,2015,S.18.4.14.001
152310244,2015,S.09.4.10.001
152830018,2015,S.13.4.17.001
153050159,2015,S.04.7.401.001
153230034,2015,S.55.4.14.001
153270108,2015,S.49.4.19.001
153540021,2015,S.13.4.22.002
110010086,2011,S.86.4.39.0010
110010141,2011,S.73.4.4.002
110010150,2011,S.86.4.39.0012
110010170,2011,S.73.7.134.001
110010196,2011,S.73.4.14.002
110020006,2011,S.56.4.88.001
110020082,2011,S.86.7.134.001
110020137,2011,S.69.4.77.001
110020174,2011,S.69.4.44.001
110020185,2011,S.69.4.54.001
110020204,2011,S.43.4.2.003
110030063,2011,S.69.4.4.002
110030072,2011,S.69.4.48.004
110030084,2011,S.56.4.8.001
110030089,2011,S.73.4.75.002
110030150,2011,S.73.4.4.003
110030175,2011,S.73.4.65.002
110030251,2011,S.69.4.7.007
110030252,2011,S.69.4.7.007
110040260,2011,S.69.4.100.001
110040363,2011,S.69.4.32.001
110040388,2011,S.73.4.13.007
110050003,2011,S.69.4.90.001
110050017,2011,S.73.4.134.003
110050096,2011,S.49.4.41.001
110050234,2011,S.49.4.37.001
110050244,2011,S.69.4.48.004
110050371,2011,S.73.4.75.002
110060009,2011,S.69.4.63.001
110060166,2011,S.49.4.34.003
110060169,2011,S.69.7.290.004
110060173,2011,S.55.4.5.003
110060197,2011,S.55.4.1.002
110060271,2011,S.56.4.1.001
110060281,2011,S.69.4.100.001
110060484,2011,S.73.4.9.002
110070005,2011,S.69.7.859.002
110070016,2011,S.69.4.101.002
110070076,2011,S.56.4.1.005
110070140,2011,S.73.7.134.001
110070170,2011,S.49.4.1.007
110070172,2011,S.47.4.11.002
110070254,2011,S.69.4.4.001
110080037,2011,S.73.7.158.001
110080054,2011,S.55.4.22.004
110080088,2011,S.69.4.48.004
110080093,2011,S.73.4.1.002
110080131,2011,S.69.4.7.007
110080133,2011,S.56.4.27.003
110080140,2011,S.73.7.122.001
110080178,2011,S.55.4.34.003
110080268,2011,S.69.4.110.004
110090012,2011,S.69.4.44.001
110090023,2011,S.55.4.22.001
110090024,2011,S.69.4.101.002
110090078,2011,S.69.4.9.002
110090086,2011,S.49.7.213.002
110090117,2011,S.55.4.16.003
110090204,2011,S.86.4.35.007
110090205,2011,S.69.4.77.001
110090307,2011,S.73.4.17.002
110100018,2011,S.43.7.62.002
110100082,2011,S.73.4.133.001
110100250,2011,S.73.4.1.002
110100285,2011,S.56.4.37.001
110100490,2011,S.86.4.35.005
110110005,2011,S.73.4.75.002
110110041,2011,S.56.4.1.002
110110078,2011,S.73.4.133.002
110110119,2011,S.43.4.12.001
110110180,2011,S.86.4.34.001
